additional_services,address,baggage_storage,built_surface_area_m2,city,civil_protection,commercial_units_count,concession_authority,convention_signature_date,daily_passenger_count,exploitation_start_date,financial_institutions,hospitals,hostels,hotels,inter_willaya_taxi_count,local_administration,long_distance_departures_per_day,long_distance_destinations,long_distance_line,medium_distance_departures_per_day,medium_distance_destinations,medium_distance_line,number_of_platforms,nursing_room,parking_spaces,police_security,prayer_room,public_garden,short_distance_destinations,short_distance_line,short_distance_rotations,station_name,surveillance,total_departures,total_surface_area_m2,tourist_sites,urban_shuttle_count,urban_taxi_count,wifi_available
,,False,,SAHRAOUI (CONSTANTINE),,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: Commune de Relizane,False,,Relizane,,42, la wilaya ,12/01/2012,6000,01/02/2018,,- administration locale,,,174,,11,: 10,38,15,: : 02,,20,False,,,True,,09,138,02,Bendaoued Relizane,False,,,,50,64,False
,,False,,POLE D'ECHANGE (CONSTANTINE),,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,OULED DJELLAL,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,:  Route national 46 ouled djellal,True,508,Ouled djelal,/,10,None,03/11/2013,240,Nos services,,033666115,/,/,,,13,:  Hassi Messaoud-  Ouargla - chlef - Tizi ouzo. El Oued .Oran .constantine  batna,,68,Biskra,,53,False,1500,0661994305,True,,: Tolga,01,01,Chala el Hafnaoui,False,,19992,,,07,False
,,False,,Ouled Brahim,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,OUENZA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Naama,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,OUARGLA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,MSILA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Nos agences,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
" cafétéria, restaurons, kiosque, sanitaire, alimentation général",: 05 Juillet 1962 Mostaganem    27000,False,2962,Mostaganem,14,16,None,,2900,Contacts importants,,Hôpital Ernesto Ch-guevara.,auberges kharouba 045360596,AZ/Hôtel 045420260,00,,79,": Adrar, Alger, Annaba, Annaba, Batna, Bechar, Bejaia, Biskra, Cherchal, Constantine, Djelfa,       El oued, Ghardaia, Hassi Messaoud ,Hassi rmel, Jijel, Laghouat, Maghnia, Ouargla, setif, Souk Ahras, Tébessa, Tindouf, Tlemcen.   ",23,25,"Ami moussa, Dahra, Tiaret, Tenes, Mazouna.",,21,False,,1548,False,,":  Mascra, Oran, Ouled Boughalem, Oued Rhiou, Sidi Mhamed benali,",05,230,5 JUILLET 1962,False,,40000,,05,50,False
,,False,,Messaâd,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
